CO2: ppm,TVOC: ppb,Time
400,0,58171
400,0,58181
400,0,58191
400,0,58201
403,0,58211
400,0,58221
400,0,58231
403,0,58241
403,0,58251
400,0,58261
400,0,58271
400,0,58281
400,0,58291
400,0,58301
400,0,58311
405,0,58321
408,1,58331
400,0,58341
400,0,58351
408,1,58361
410,1,58371
405,0,58381
405,0,58391
405,0,58401
408,1,58411
405,0,58421
405,0,58431
400,0,58441
405,0,58451
400,0,58461
400,0,58471
405,0,58481
405,0,58491
400,0,58501
403,0,58511
403,0,58521
408,1,58531
408,1,58541
416,2,58551
413,1,58561
408,1,58571
413,1,58581
413,1,58591
413,1,58601
416,2,58611
416,2,58621
413,1,58631
416,2,58641
413,1,58651
403,0,58661
413,1,58671
408,1,58681
408,1,58691
408,1,58701
408,1,58711
403,0,58721
413,1,58731
416,2,58741
413,1,58751
413,1,58761
408,1,58771
403,0,58781
403,0,58791
403,0,58813
408,1,58823
413,1,58833
408,1,58850
408,1,58860
416,2,58870
408,1,58894
413,1,58904
413,1,58924
416,2,58947
408,1,58957
413,1,58967
416,2,58977
418,2,58987
422,3,59005
418,2,59015
422,3,59025
416,2,59035
418,2,59045
418,2,59067
416,2,59077
422,3,66885
422,3,66895
425,3,66907
422,3,66929
422,3,66939
425,3,66949
425,3,66959
418,2,66969
418,2,66979
418,2,66989
416,2,67005
418,2,67025
422,3,67047
422,3,67057
418,2,67069
416,2,67083
416,2,67093
418,2,67118
416,2,67130
425,3,67140
416,2,67150
416,2,67160
418,2,67170
425,3,67180
418,2,67190
422,3,67209
416,2,67231
413,1,67241
422,3,67253
413,1,67265
416,2,67275
422,3,67290
418,2,67309
416,2,67332
422,3,67342
417,2,67353
411,1,67366
417,2,67376
411,1,67390
417,2,67410
411,1,67432
417,2,67442
411,1,67454
411,1,67468
415,2,67478
411,1,67503
415,2,67515
407,1,67525
411,1,67535
407,1,67545
411,1,67555
407,1,67565
402,0,67575
407,1,67594
402,0,67616
400,0,67626
403,0,67638
408,1,67653
403,0,67663
403,0,67688
400,0,67699
402,0,67709
402,0,67719
400,0,67729
403,0,67739
406,0,67749
406,0,67759
403,0,67778
406,0,67801
406,0,67811
406,0,67822
400,0,67837
400,0,67847
403,0,67872
403,0,67883
400,0,67893
410,1,67903
410,1,67913
408,1,67923
408,1,67933
414,2,67943
408,1,67963
405,0,67985
410,1,67995
408,1,68007
408,1,68021
408,1,68031
405,0,68056
