"CO2: ppm,","TVOC: ppb," ,Time

580,27,48877

596,29,48878

596,29,48879

586,28,48880

574,26,48881

574,26,48882

560,24,48883

574,26,48884

580,27,48885

589,28,48886

589,28,48887

589,28,48888

589,28,48889

589,28,48890

596,29,48891

615,32,48892

624,34,48893

624,34,48894

596,29,48895

574,26,48896

574,26,48897

580,27,48898

564,24,48899

548,22,48900

560,24,48901

564,24,48902

574,26,48903

567,25,48904

564,24,48905

580,27,48906

580,27,48907

574,26,48908

586,28,48909

589,28,48910

596,29,48911

589,28,48912

586,28,48913

580,27,48914

580,27,48915

586,28,48916

596,29,48917

607,31,48918

620,33,48919

624,34,48920

631,35,48921

615,32,48922

620,33,48923

607,31,48924

607,31,48925

607,31,48926

589,28,48927

564,24,48928

553,23,48929

543,21,48930

548,22,48931

543,21,48932

553,23,48933

567,25,48934

564,24,48935

567,25,48936

564,24,48937

564,24,48938

560,24,48939

548,22,48940

548,22,48941

543,21,48942

548,22,48943

560,24,48944

574,26,48945

580,27,48946

589,28,48947

589,28,48948

589,28,48949

589,28,48950

596,29,48951

589,28,48952

607,31,48953

607,31,48954

600,30,48955

600,30,48956

607,31,48957

624,34,48958

600,30,48959

600,30,48960

607,31,48961

607,31,48962

600,30,48963

607,31,48964

596,29,48965

574,26,48966

615,32,48967

620,33,48968

607,31,48969

600,30,48970

589,28,48971

596,29,48972

596,29,48973

589,28,48974

596,29,48975

600,30,48976

607,31,48977

600,30,48978

607,31,48979

600,30,48980

596,29,48981

589,28,48982

596,29,48983

607,31,48984

615,32,48985

607,31,48986

607,31,48987

607,31,48988

600,30,48989

596,29,48990

580,27,48992

589,28,48993

600,30,48994

589,28,48995

586,28,48996

589,28,48997

596,29,48998

600,30,48999

586,28,49000

586,28,49001

586,28,49002

589,28,49003

600,30,49004

580,27,49005

580,27,49006

567,25,49007

564,24,49008

564,24,49009

574,26,49010

586,28,49011

586,28,49012

580,27,49013

580,27,49014

574,26,49015

574,26,49016

580,27,49017

586,28,49018

586,28,49019

586,28,49020

588,28,49021

594,29,49022

599,30,49023

599,30,49024

605,31,49025

594,29,49026

594,29,49027

599,30,49028

605,31,49029

599,30,49030

588,28,49031

584,28,49032

578,27,49033

578,27,49034

588,28,49035

584,28,49036

594,29,49037

599,30,49038

605,31,49039

614,32,49040

614,32,49041

623,33,49042

614,32,49043

605,31,49044

614,32,49045

618,33,49046

618,33,49047

614,32,49048

618,33,49049

629,34,49050

637,36,49051

646,37,49052

641,36,49053

637,36,49054

646,37,49055

637,36,49056

629,34,49057

618,33,49058

614,32,49059

637,36,49060

629,34,49061

584,28,49062

561,24,49063

552,23,49064

552,23,49065

572,26,49066

578,27,49067

588,28,49068

605,31,49069

614,32,49070

605,31,49071

618,33,49072

614,32,49073

618,33,49074

599,30,49075

599,30,49076

588,28,49077

599,30,49078

588,28,49079

594,29,49080

594,29,49081

599,30,49082

594,29,49083

599,30,49084

618,33,49085

614,32,49086

588,28,49087

578,27,49088

556,23,49089

556,23,49090

552,23,49091

556,23,49092

552,23,49093

533,20,59292

529,19,59300

523,18,59304

518,17,59305

508,16,59306

508,16,59307

505,15,59308

523,18,59309

523,18,59313

533,20,59324

