"CO2: ppm,","TVOC: ppb,",Time
0,0,39959
400,0,39960
400,0,39961
400,0,39962
400,0,39963
400,0,39964
400,0,39965
400,0,39966
400,0,39967
400,0,39968
400,0,39969
400,0,39970
400,0,39971
400,0,39972
400,0,39973
400,0,39974
400,0,39975
400,0,39976
400,0,39977
400,0,39978
400,0,39979
400,0,39986
400,0,39987
403,0,39988
400,0,39989
400,0,39990
400,0,39991
406,0,39992
400,0,39993
400,0,39994
400,0,39995
400,0,39996
403,0,39997
403,0,39998
406,0,39999
406,0,40000
426,3,40001
4341,5708,40002
1470,163,40003
641,36,40004
675,41,40005
882,73,40006
874,72,40007
913,78,40008
715,47,40009
589,28,40010
524,18,40011
463,9,40012
426,3,40013
409,1,40014
409,1,40015
439,5,40016
439,5,40017
428,4,40018
423,3,40019
409,1,40020
1977,707,40021
752,53,40022
742,52,40023
607,31,40024
463,9,40025
518,17,40026
529,19,40027
566,25,40028
472,10,40029
445,6,40030
417,2,40031
409,1,40032
