Time Stamp,Data Source ID,"CO2: ppm,","TVOC: ppb,",Data Source ID,"CO2: ppm,","TVOC: ppb,"

66944,COM5,0,0,COM7,0,0

66945,COM5,400,0,COM7,400,0

66946,COM5,400,0,COM7,408,1

66947,COM5,400,0,COM7,408,1

66948,COM5,400,0,COM7,408,1

66949,COM5,400,0,COM7,413,1

66950,COM5,400,0,COM7,421,3

66951,COM5,400,0,COM7,421,3

66952,COM5,400,0,COM7,416,2

66953,COM5,400,0,COM7,413,1

66954,COM5,400,0,COM7,416,2

66955,COM5,400,0,COM7,408,1

66956,COM5,400,0,COM7,408,1

66957,COM5,400,0,COM7,405,0

66958,COM5,400,0,COM7,408,1

66959,COM5,400,0,COM7,413,1

66960,COM5,400,0,COM7,416,2

66961,COM5,400,0,COM7,416,2

66962,COM5,400,0,COM7,416,2

66963,COM5,400,0,COM7,416,2

66964,COM5,400,0,COM7,413,1

66965,COM5,400,0,COM7,416,2

66966,COM5,400,0,COM7,405,0

66967,COM5,400,0,COM7,408,1

66968,COM5,400,0,COM7,408,1

66969,COM5,400,0,COM7,408,1

66970,COM5,400,0,COM7,405,0

66971,COM5,400,0,COM7,400,0

66972,COM5,400,0,COM7,408,1

66973,COM5,400,0,COM7,413,1

66974,COM5,406,0,COM7,413,1

66975,COM5,400,0,COM7,400,0

66976,COM5,405,0,COM7,400,0

66977,COM5,400,0,COM7,405,0

66978,COM5,400,0,COM7,405,0

66979,COM5,400,0,COM7,400,0

66980,COM5,400,0,COM7,400,0

66981,COM5,403,0,COM7,400,0

66982,COM5,400,0,COM7,402,0

66983,COM5,400,0,COM7,400,0

66984,COM5,400,0,COM7,406,0

66985,COM5,405,0,COM7,403,0

66986,COM5,400,0,COM7,406,0

66987,COM5,400,0,COM7,410,1

66988,COM5,400,0,COM7,406,0

66989,COM5,402,0,COM7,403,0

66990,COM5,400,0,COM7,406,0

66991,COM5,403,0,COM7,406,0

66992,COM5,400,0,COM7,406,0

66993,COM5,400,0,COM7,403,0

66994,COM5,400,0,COM7,403,0

66995,COM5,400,0,COM7,403,0

66996,COM5,407,1,COM7,403,0

66997,COM5,407,1,COM7,403,0

66998,COM5,410,1,COM7,403,0

66999,COM5,410,1,COM7,403,0

67000,COM5,407,1,COM7,400,0

67001,COM5,400,0,COM7,406,0

67002,COM5,400,0,COM7,411,1

67003,COM5,402,0,COM7,409,1

67004,COM5,402,0,COM7,400,0

67005,COM5,400,0,COM7,406,0

67006,COM5,400,0,COM7,406,0

67007,COM5,400,0,COM7,400,0

67008,COM5,408,1,COM7,403,0

67009,COM5,405,0,COM7,403,0

67010,COM5,408,1,COM7,403,0

67011,COM5,400,0,COM7,403,0

67012,COM5,400,0,COM7,403,0

67013,COM5,408,1,COM7,403,0

67014,COM5,400,0,COM7,403,0

67015,COM5,406,0,COM7,400,0

67016,COM5,402,0,COM7,403,0

67017,COM5,406,0,COM7,409,1

67018,COM5,402,0,COM7,403,0

67019,COM5,400,0,COM7,409,1

67020,COM5,400,0,COM7,409,1

67021,COM5,400,0,COM7,403,0

67022,COM5,400,0,COM7,413,1

67023,COM5,400,0,COM7,400,0

67024,COM5,400,0,COM7,403,0

67025,COM5,400,0,COM7,403,0

67026,COM5,400,0,COM7,400,0

67027,COM5,400,0,COM7,407,1

67028,COM5,400,0,COM7,407,1

67029,COM5,405,0,COM7,403,0

67030,COM5,405,0,COM7,400,0

67031,COM5,400,0,COM7,400,0

67032,COM5,400,0,COM7,400,0

67033,COM5,403,0,COM7,405,0

67034,COM5,403,0,COM7,400,0

67035,COM5,408,1,COM7,405,0

67036,COM5,403,0,COM7,405,0

67037,COM5,403,0,COM7,409,1

67038,COM5,400,0,COM7,413,1

67039,COM5,400,0,COM7,416,2

67040,COM5,400,0,COM7,416,2

67041,COM5,402,0,COM7,425,3

67042,COM5,406,0,COM7,416,2

67043,COM5,402,0,COM7,416,2

67044,COM5,400,0,COM7,413,1

67045,COM5,400,0,COM7,416,2

67046,COM5,400,0,COM7,416,2

67047,COM5,400,0,COM7,416,2

67048,COM5,406,0,COM7,413,1

67049,COM5,409,1,COM7,413,1

67050,COM5,400,0,COM7,416,2

67051,COM5,403,0,COM7,413,1

67052,COM5,400,0,COM7,416,2

67053,COM5,403,0,COM7,416,2

67054,COM5,403,0,COM7,409,1

67055,COM5,400,0,COM7,413,1

67056,COM5,400,0,COM7,413,1

67057,COM5,400,0,COM7,413,1

67058,COM5,408,1,COM7,416,2

67059,COM5,408,1,COM7,416,2

67060,COM5,408,1,COM7,416,2

67061,COM5,400,0,COM7,409,1

67062,COM5,400,0,COM7,413,1

67063,COM5,405,0,COM7,409,1

67064,COM5,405,0,COM7,408,1

67065,COM5,405,0,COM7,405,0

67066,COM5,405,0,COM7,405,0

67067,COM5,400,0,COM7,405,0

67068,COM5,400,0,COM7,408,1

67069,COM5,408,1,COM7,411,1

67070,COM5,400,0,COM7,411,1

67071,COM5,405,0,COM7,421,3

67072,COM5,408,1,COM7,421,3

67073,COM5,400,0,COM7,421,3

67074,COM5,400,0,COM7,423,3

67075,COM5,400,0,COM7,438,5

67076,COM5,409,1,COM7,423,3

67077,COM5,405,0,COM7,427,4

67078,COM5,405,0,COM7,421,3

67079,COM5,400,0,COM7,421,3

67080,COM5,409,1,COM7,417,2

67081,COM5,405,0,COM7,408,1

67082,COM5,405,0,COM7,411,1

67083,COM5,405,0,COM7,411,1

67084,COM5,400,0,COM7,411,1

67085,COM5,409,1,COM7,408,1

67086,COM5,405,0,COM7,405,0

67087,COM5,405,0,COM7,408,1

67088,COM5,400,0,COM7,408,1

67089,COM5,400,0,COM7,411,1

67090,COM5,403,0,COM7,411,1

67091,COM5,400,0,COM7,408,1

67092,COM5,400,0,COM7,421,3

67093,COM5,400,0,COM7,417,2

67094,COM5,400,0,COM7,417,2

67095,COM5,403,0,COM7,408,1

67096,COM5,400,0,COM7,408,1

67097,COM5,403,0,COM7,405,0

67098,COM5,400,0,COM7,400,0

67099,COM5,400,0,COM7,400,0

67100,COM5,400,0,COM7,400,0

67101,COM5,400,0,COM7,400,0

67102,COM5,400,0,COM7,409,1

