"CO2: ppm,","TVOC: ppb,",Time
0,0,39985
400,0,39986
400,0,39987
400,0,39988
400,0,39989
400,0,39990
400,0,39991
400,0,39992
400,0,39993
400,0,39994
400,0,39995
400,0,39996
868,71,39997
927,80,39998
891,74,39999
836,66,40000
813,62,40001
744,52,40002
1764,407,40003
1677,315,40004
1583,231,40005
1529,191,40006
1420,155,40007
1281,134,40008
1107,107,40009
970,86,40010
836,66,40011
735,51,40012
666,40,40013
624,34,40014
574,26,40015
905,76,40016
1053,99,40017
1014,93,40018
961,85,40019
806,61,40020
744,52,40021
653,38,40022
581,27,40023
533,20,40024
500,15,40025
472,10,40026
450,7,40027
436,5,40028
421,3,40029
456,8,40030
514,17,40031
