Time Stamp,Data Source ID,"CO2: ppm,","TVOC: ppb,",Data Source ID,"CO2: ppm,","TVOC: ppb,"
80892,COM5,0,0,COM7,0,0
80893,COM5,400,0,COM7,400,0
80894,COM5,400,0,COM7,402,0
80895,COM5,421,3,COM7,402,0
80896,COM5,443,6,COM7,407,1
80897,COM5,461,9,COM7,407,1
80898,COM5,447,7,COM7,402,0
80899,COM5,434,5,COM7,402,0
80900,COM5,425,3,COM7,410,1
80901,COM5,417,2,COM7,407,1
80902,COM5,413,1,COM7,407,1
80903,COM5,403,0,COM7,415,2
80904,COM5,409,1,COM7,415,2
80905,COM5,403,0,COM7,415,2
