"CO2: ppm,","TVOC: ppb,",Time
0,0,40109
400,0,40110
405,0,40111
400,0,40112
407,1,40113
400,0,40114
400,0,40115
400,0,40116
408,1,40117
400,0,40118
400,0,40119
413,1,40120
435,5,40121
439,5,40122
435,5,40123
426,3,40124
420,3,40125
413,1,40126
417,2,40127
420,3,40128
417,2,40129
485,12,40130
543,21,40131
566,25,40132
540,21,40133
498,14,40134
470,10,40135
459,8,40136
445,6,40137
439,5,40138
435,5,40139
428,4,40140
435,5,40141
435,5,40142
435,5,40143
439,5,40144
439,5,40145
445,6,40146
439,5,40147
439,5,40148
439,5,40149
450,7,40150
459,8,40151
459,8,40152
450,7,40153
445,6,40154
439,5,40155
428,4,40156
426,3,40157
417,2,40158
726,49,40159
1029,95,40160
945,83,40161
778,57,40162
714,47,40163
688,43,40164
674,41,40165
1393,151,40166
1228,126,40167
1056,99,40168
915,78,40169
863,70,40170
806,61,40171
798,60,40172
768,56,40173
733,50,40174
706,46,40176
688,43,40177
674,41,40178
631,35,40179
602,30,40180
589,28,40181
575,26,40182
555,23,40183
543,21,40184
531,19,40185
526,19,40186
503,15,40187
491,13,40188
519,18,40189
1004,92,40190
1017,93,40191
992,90,40192
863,70,40193
749,53,40194
