CO2: ppm,TVOC: ppb,Time
0,0,56961
400,0,56966
400,0,56971
400,0,56976
400,0,56981
400,0,56986
400,0,56991
408,1,56996
418,2,57001
418,2,57006
422,3,57011
418,2,57016
422,3,57021
422,3,57026
422,3,57031
422,3,57036
422,3,57041
422,3,57046
426,3,57051
422,3,57056
422,3,57061
418,2,57066
400,0,57071
400,0,57076
400,0,57081
405,0,57086
411,1,57091
427,4,57096
427,4,57101
422,3,57106
414,2,57111
418,2,57116
414,2,57121
414,2,57126
411,1,57131
411,1,57136
411,1,57141
405,0,57146
400,0,57151
400,0,57156
400,0,57161
400,0,57166
400,0,57171
400,0,57176
400,0,57181
400,0,57186
405,0,57191
413,1,57196
413,1,57201
409,1,57206
400,0,57211
400,0,57216
418,2,57221
422,3,57226
426,3,57231
428,4,57236
428,4,57241
443,6,57246
435,5,57251
443,6,57256
435,5,57475
435,5,57480
435,5,57485
443,6,57490
443,6,57495
445,6,57500
450,7,57505
443,6,57510
435,5,57515
443,6,57520
445,6,57525
445,6,57530
450,7,57535
435,5,57540
435,5,57545
428,4,57550
418,2,57555
413,1,57560
409,1,57565
400,0,57570
405,0,57575
422,3,57580
428,4,57585
435,5,57590
428,4,57598
422,3,57624
426,3,57633
428,4,57654
443,6,57677
435,5,57682
443,6,57687
445,6,57695
450,7,57700
450,7,57705
460,9,57713
470,10,57739
476,11,57748
492,14,57769
502,15,57792
502,15,57797
517,17,57802
530,19,57810
530,19,57815
540,21,57820
546,22,57827
540,21,57850
546,22,57855
540,21,57860
536,20,57868
530,19,57873
523,18,57878
530,19,57887
536,20,57912
536,20,57921
540,21,57942
540,21,57965
540,21,57970
530,19,57975
517,17,57984
508,16,57989
492,14,57994
486,13,58001
492,14,58024
508,16,58029
530,19,58034
530,19,58042
536,20,58047
517,17,58052
496,14,58061
496,14,58086
492,14,58095
486,13,58116
486,13,58138
492,14,58162
496,14,58167
496,14,58172
502,15,58177
496,14,58197
496,14,58217
496,14,58239
492,14,58260
502,15,58283
508,16,58288
502,15,58293
496,14,58299
486,13,58323
481,12,58328
481,12,58333
470,10,58349
470,10,58361
481,12,58366
464,9,58371
450,7,58379
450,7,58405
450,7,58413
445,6,58432
443,6,58449
428,4,58463
428,4,58470
426,3,58486
428,4,58497
435,5,58502
445,6,58507
450,7,58516
470,10,58540
476,11,58545
470,10,58553
464,9,58573
460,9,58592
460,9,58609
464,9,58623
470,10,58630
476,11,58646
481,12,58657
486,13,58662
481,12,58667
476,11,58676
460,9,58702
460,9,58710
454,8,58731
450,7,58755
450,7,58760
460,9,58765
470,10,58773
476,11,58778
476,11,58783
476,11,58789
476,11,58811
476,11,58837
481,12,58846
464,9,58866
464,9,58889
481,12,58894
492,14,58899
496,14,58910
486,13,58915
481,12,58920
476,11,58928
481,12,58933
476,11,58938
470,10,58947
450,7,58972
450,7,58981
445,6,59002
454,8,59025
454,8,59030
450,7,59035
443,6,59043
443,6,59069
443,6,59078
445,6,59099
454,8,59122
464,9,59127
464,9,59132
470,10,59140
481,12,59145
492,14,59150
496,14,59159
502,15,59184
502,15,59193
496,14,59214
496,14,59237
517,17,59242
530,19,59247
540,21,59256
540,21,59261
546,22,59266
540,21,59272
530,19,59295
492,14,59300
454,8,59305
445,6,59313
445,6,59318
445,6,59323
445,6,59332
450,7,59358
450,7,59366
454,8,59387
464,9,59411
476,11,59416
480,12,59421
485,12,59429
480,12,59434
485,12,59439
495,14,59445
501,15,59468
520,18,59473
534,20,59478
520,18,59487
506,16,59492
501,15,59497
495,14,59505
485,12,59531
485,12,59540
485,12,59561
480,12,59584
480,12,59589
463,9,59594
444,6,59602
434,5,59607
448,7,59612
459,8,59621
459,8,59646
452,7,59651
452,7,59656
466,10,59661
475,11,59666
463,9,59671
452,7,59676
452,7,59681
463,9,59686
475,11,59691
480,12,59696
491,13,59701
501,15,59706
515,17,59711
529,19,59716
534,20,59721
539,21,59726
534,20,59731
506,16,59736
501,15,59741
475,11,59746
463,9,59751
466,10,59756
475,11,59761
480,12,59766
480,12,59771
480,12,59776
466,10,59781
459,8,59786
448,7,59791
444,6,59796
448,7,59801
448,7,59806
452,7,59811
459,8,59816
475,11,59821
480,12,59826
491,13,59831
492,14,59836
487,13,59841
487,13,59846
498,14,59851
503,15,59856
503,15,59861
498,14,59866
492,14,59871
