"CO2: ppm,","TVOC: ppb,",Time
882,73,48874

863,70,48875

851,68,48876

863,70,48877

897,75,48878

927,80,48879

949,83,48880

959,85,48881

967,86,48882

949,83,48883

918,78,48884

897,75,48885

863,70,48886

825,64,48887

815,63,48888

785,58,48889

752,53,48890

763,55,48891

742,52,48892

708,46,48893

728,49,48894

708,46,48895

708,46,48896

694,44,48897

708,46,48898

728,49,48899

746,52,48900

778,57,48901

763,55,48902

770,56,48903

763,55,48904

778,57,48905

778,57,48906

778,57,48907

804,61,48908

825,64,48909

844,67,48910

834,66,48911

804,61,48912

804,61,48913

795,60,48914

795,60,48915

795,60,48916

785,58,48917

804,61,48918

804,61,48919

795,60,48920

778,57,48921

746,52,48922

742,52,48923

742,52,48924

728,49,48925

714,47,48926

694,44,48927

700,45,48928

694,44,48929

659,39,48930

674,41,48931

668,40,48932

686,43,48933

714,47,48934

714,47,48935

714,47,48936

694,44,48937

708,46,48938

694,44,48939

700,45,48940

694,44,48941

714,47,48942

742,52,48943

763,55,48944

770,56,48945

785,58,48946

785,58,48947

785,58,48948

785,58,48949

763,55,48950

763,55,48951

763,55,48952

770,56,48953

778,57,48954

785,58,48955

795,60,48956

815,63,48957

815,63,48958

795,60,48959

804,61,48960

778,57,48961

785,58,48962

804,61,48963

825,64,48964

815,63,48965

808,62,48966

795,60,48967

785,58,48968

785,58,48969

746,52,48970

728,49,48971

785,58,48972

808,62,48973

795,60,48974

785,58,48975

778,57,48976

778,57,48977

778,57,48978

808,62,48979

808,62,48980

815,63,48981

804,61,48982

804,61,48983

834,66,48984

825,64,48985

825,64,48986

815,63,48987

795,60,48988

785,58,48989

778,57,48990

804,61,48991

795,60,48993

795,60,48994

752,53,48995

746,52,48996

752,53,48997

714,47,48998

694,44,48999

733,50,49000

752,53,49001

778,57,49002

763,55,49003

746,52,49004

752,53,49005

752,53,49006

778,57,49007

825,64,49008

795,60,49009

778,57,49010

795,60,49011

785,58,49012

795,60,49013

770,56,49014

770,56,49015

763,55,49016

763,55,49017

770,56,49018

770,56,49019

778,57,49020

804,61,49021

785,58,49022

752,53,49023

778,57,49024

778,57,49025

795,60,49026

752,53,49027

733,50,49028

